datetime,date,hour,ward_id,ward_name,units_observed,bins_compromised,raccoon_confidence_level,average_unit_weight_kg,incidents_of_raccoon_human_standoff,avg_standoff_duration_sec,proximity_to_a_patio,complaints_logged
2024-01-01 00:00:00,2024-01-01,0,1,Etobicoke North,12,8,7.7,5.53,2,17,0,1
2024-01-01 00:00:00,2024-01-01,0,2,Etobicoke Centre,14,8,7.6,5.67,2,26,0,1
2024-01-01 00:00:00,2024-01-01,0,3,Etobicoke-Lakeshore,15,9,7.7,5.83,3,23,0,2
2024-01-01 00:00:00,2024-01-01,0,4,Parkdale-High Park,22,13,10,6.21,4,28,0,3
2024-01-01 00:00:00,2024-01-01,0,5,York South-Weston,7,9,6.0,5.94,1,18,0,1
2024-01-01 00:00:00,2024-01-01,0,6,York Centre,10,10,9.2,4.87,2,25,0,1
2024-01-01 00:00:00,2024-01-01,0,7,Humber River-Black Creek,13,8,9.5,5.98,2,28,0,1
2024-01-01 00:00:00,2024-01-01,0,8,Eglinton-Lawrence,17,7,7.1,5.9,2,19,0,1
2024-01-01 00:00:00,2024-01-01,0,9,Davenport,20,13,10,6.06,3,26,0,1
2024-01-01 00:00:00,2024-01-01,0,10,Spadina-Fort York,16,10,10,4.85,3,25,0,2
2024-01-01 00:00:00,2024-01-01,0,11,University-Rosedale,19,14,10,6.21,3,23,0,3
2024-01-01 00:00:00,2024-01-01,0,12,Toronto-St. Paul's,12,7,7.9,6.05,1,16,0,1
2024-01-01 00:00:00,2024-01-01,0,13,Toronto Centre,18,11,10,6.48,3,27,0,2
2024-01-01 00:00:00,2024-01-01,0,14,Toronto-Danforth,19,14,10,5.19,4,31,0,2
2024-01-01 00:00:00,2024-01-01,0,15,Don Valley West,11,11,7.3,6.56,2,18,0,1
2024-01-01 00:00:00,2024-01-01,0,16,Don Valley East,14,10,9.4,6.01,0,0,0,1
2024-01-01 00:00:00,2024-01-01,0,17,Don Valley North,10,7,6.9,5.6,3,20,0,2
2024-01-01 00:00:00,2024-01-01,0,18,Willowdale,13,8,7.3,5.66,1,18,0,2
2024-01-01 00:00:00,2024-01-01,0,19,Beaches-East York,13,11,10,5.89,4,26,0,2
2024-01-01 00:00:00,2024-01-01,0,20,Scarborough Southwest,15,11,5.0,6.19,2,22,0,1
2024-01-01 00:00:00,2024-01-01,0,21,Scarborough Centre,16,8,5.7,5.72,2,18,0,1
2024-01-01 00:00:00,2024-01-01,0,22,Scarborough-Agincourt,15,6,7.3,5.76,2,22,0,1
2024-01-01 00:00:00,2024-01-01,0,23,Scarborough North,14,9,8.9,5.89,1,25,0,2
2024-01-01 00:00:00,2024-01-01,0,24,Scarborough-Guildwood,13,10,9.1,5.77,4,24,0,1
2024-01-01 00:00:00,2024-01-01,0,25,Scarborough-Rouge Park,11,11,8.2,5.91,3,17,0,1
2024-01-01 01:00:00,2024-01-01,1,1,Etobicoke North,10,9,6.9,6.12,2,24,0,1
2024-01-01 01:00:00,2024-01-01,1,2,Etobicoke Centre,13,6,8.8,5.57,1,27,0,1
2024-01-01 01:00:00,2024-01-01,1,3,Etobicoke-Lakeshore,15,11,10,5.25,3,36,0,1
2024-01-01 01:00:00,2024-01-01,1,4,Parkdale-High Park,22,16,10,5.86,5,35,0,2
2024-01-01 01:00:00,2024-01-01,1,5,York South-Weston,12,9,7.1,5.19,2,23,0,0
2024-01-01 01:00:00,2024-01-01,1,6,York Centre,13,11,7.7,6.65,1,36,0,1
2024-01-01 01:00:00,2024-01-01,1,7,Humber River-Black Creek,15,6,7.0,5.88,2,21,0,0
2024-01-01 01:00:00,2024-01-01,1,8,Eglinton-Lawrence,12,8,10,5.88,0,0,0,2
2024-01-01 01:00:00,2024-01-01,1,9,Davenport,15,15,10,5.95,2,27,0,2
2024-01-01 01:00:00,2024-01-01,1,10,Spadina-Fort York,14,12,9.5,5.03,2,28,0,1
2024-01-01 01:00:00,2024-01-01,1,11,University-Rosedale,22,13,10,6.75,3,25,0,2
2024-01-01 01:00:00,2024-01-01,1,12,Toronto-St. Paul's,19,7,10,6.2,2,26,0,1
2024-01-01 01:00:00,2024-01-01,1,13,Toronto Centre,14,12,10,7.15,4,25,0,2
2024-01-01 01:00:00,2024-01-01,1,14,Toronto-Danforth,18,14,9.5,4.45,1,25,0,2
2024-01-01 01:00:00,2024-01-01,1,15,Don Valley West,13,7,5.8,4.39,2,24,0,2
2024-01-01 01:00:00,2024-01-01,1,16,Don Valley East,11,8,10,5.52,1,24,0,0
2024-01-01 01:00:00,2024-01-01,1,17,Don Valley North,13,9,8.4,5.38,1,31,0,1
2024-01-01 01:00:00,2024-01-01,1,18,Willowdale,12,8,6.9,5.56,1,22,0,2
2024-01-01 01:00:00,2024-01-01,1,19,Beaches-East York,14,12,10,5.29,3,28,0,2
2024-01-01 01:00:00,2024-01-01,1,20,Scarborough Southwest,13,7,10,5.94,0,0,0,1
2024-01-01 01:00:00,2024-01-01,1,21,Scarborough Centre,10,8,8.8,5.83,0,0,0,2
2024-01-01 01:00:00,2024-01-01,1,22,Scarborough-Agincourt,14,10,10,6.68,0,0,0,0
2024-01-01 01:00:00,2024-01-01,1,23,Scarborough North,13,11,8.4,4.92,3,17,0,1
2024-01-01 01:00:00,2024-01-01,1,24,Scarborough-Guildwood,9,7,8.2,5.32,3,25,0,2
2024-01-01 01:00:00,2024-01-01,1,25,Scarborough-Rouge Park,13,7,8.4,5.72,1,24,0,1
2024-01-01 02:00:00,2024-01-01,2,1,Etobicoke North,11,11,9.4,5.5,1,31,0,1
2024-01-01 02:00:00,2024-01-01,2,2,Etobicoke Centre,14,9,7.6,5.97,2,22,0,2
2024-01-01 02:00:00,2024-01-01,2,3,Etobicoke-Lakeshore,13,11,9.4,5.16,2,22,0,2
2024-01-01 02:00:00,2024-01-01,2,4,Parkdale-High Park,19,15,10,7.29,4,25,0,2
2024-01-01 02:00:00,2024-01-01,2,5,York South-Weston,11,6,7.5,5.77,1,20,0,2
2024-01-01 02:00:00,2024-01-01,2,6,York Centre,11,8,6.5,5.38,3,23,0,2
